title,genre,director,rating
Sonu Ke Titu Ki Sweety,Titu is going to marry a perfect woman named Sweety. Titu's best-friend Sonu doubts Sweety's character and tries to break the marriage while Sweety tries to do opposite and which leads to war between Bromance and Romance.,Luv Ranjan,7.1
Bellbottom,"When an Indian commercial airliner is hijacked by terrorists in the mid 1980s, a government agent is tasked with rescuing the 210 hostages.",Ranjit Tewari,6.1
Rock On!!,Four friends reunite to relive their moments of glory as a rock band.,Abhishek Kapoor,7.7
Welcome,"A man falls in love with a beautiful woman, but later discovers that her brothers are gangsters.",Anees Bazmee,6.9
Prem Ratan Dhan Payo,"While recovering from an assassination attempt four days before his coronation, a stern prince is replaced by a romantic lookalike.",Sooraj R. Barjatya,4.4
Ugly,The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.,Anurag Kashyap,7.9
Namastey London,"A man takes his thoroughly-British daughter to his home country, India. There, he arranges her marriage to someone she considers a fool. The daughter attempts to outwit them, but the groom quietly and patiently hatches his own plan.",Vipul Amrutlal Shah,7.1
Mulk,One family member tries to help her own family when they are trapped in a dark controversy.,Anubhav Sinha,7.4
Student of the Year 2,"A student must face off against bullies and overcome hurdles, both academic and romantic, to win his college's coveted Student of the Year trophy.",Punit Malhotra,2.1
Pyaar Ka Punchnama,Nishant starts dating Charu while his roommates Rajat and Vikrant already have girlfriends in Neha and Rhea respectively. Trouble starts when the guys feel that their girlfriends are dominating them.,Luv Ranjan,7.6
Hum Aapke Hain Koun..!,"Prem and Nisha meet and fall in love at the wedding of their elder siblings, but their plans to be together are put in jeopardy when Nisha's sister dies, leaving behind a baby.",Sooraj R. Barjatya,7.5
Krrish,"Krishna is forced by circumstances to use his superpowers and become the masked superhero Krrish, before getting drawn towards his lost legacy.",Rakesh Roshan,6.4
Toilet - Ek Prem Katha,"A woman threatens to leave her husband unless he installs a toilet in their home. To win back her love and respect, he heads out on a journey to fight against the backward society.",Shree Narayan Singh,7.2
Black Friday,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.",Anurag Kashyap,8.4
Omkara,A politically-minded enforcer's misguided trust in his lieutenant leads him to suspect his wife of infidelity in this adaptation of Shakespeare's 'Othello'.,Vishal Bhardwaj,8.1
Jab Harry Met Sejal,A depressed middle-aged tour guide who lives in his own bubble gets another chance to experience and face reality through a chirpy girl.,Imtiaz Ali,5.0
Goliyon Ki Rasleela Ram-Leela,"Modern adaptation of William Shakespeare's 'Romeo and Juliet' with an Indian twist, the film focuses on the story of Ram and Leela, their love, lust and the drama afterwards.",Sanjay Leela Bhansali,6.4
